,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
1,Christian McCaffrey,CAR,RB,297.2,"1,274.9",11.6,90.6,738.3,4.3,1.7,0.0,0.0,0,0.0,0.0
2,Dalvin Cook,MIN,RB,316.9,"1,476.3",12.5,53.9,470.4,2.0,2.6,0.0,0.0,0,0.0,0.0
3,Derrick Henry,TEN,RB,344.2,"1,720.5",14.0,24.7,178.6,1.0,2.7,0.0,0.0,0,0.0,0.0
4,Alvin Kamara,NO,RB,206.9,992.6,9.7,81.0,693.4,3.6,1.5,0.0,0.0,0,0.0,0.0
5,Aaron Jones,GB,RB,232.7,"1,163.4",10.2,51.7,396.0,2.5,1.6,0.0,0.0,0,0.0,0.0
6,Nick Chubb,CLE,RB,271.7,"1,335.4",10.8,30.0,244.4,1.1,1.8,0.0,0.0,0,0.0,0.0
7,Saquon Barkley,NYG,RB,264.3,"1,187.7",8.5,54.5,435.6,2.0,1.2,0.0,0.0,0,0.0,0.0
8,Jonathan Taylor,IND,RB,272.6,"1,216.4",10.3,40.2,308.7,1.5,1.6,0.0,0.0,0,0.0,0.0
9,Ezekiel Elliott,DAL,RB,282.5,"1,170.4",9.0,51.5,394.5,2.3,2.8,0.0,0.0,0,0.0,0.0
10,Joe Mixon,CIN,RB,274.2,"1,148.9",8.0,49.1,367.1,2.7,1.5,0.0,0.0,0,0.0,0.0
11,Najee Harris,PIT,RB,261.2,"1,142.6",8.6,48.3,358.7,2.1,2.2,0.0,0.0,0,0.0,0.0
12,Austin Ekeler,LAC,RB,178.6,847.0,5.0,81.6,689.6,4.6,1.3,0.0,0.0,0,0.0,0.0
13,J.K. Dobbins,BAL,RB,203.0,"1,183.0",11.0,27.0,215.0,0.0,2.0,0.0,0.0,0,0.0,0.0
14,Chris Carson,SEA,RB,231.2,"1,083.0",7.5,44.5,331.5,2.4,1.7,0.0,0.0,0,0.0,0.0
15,Antonio Gibson,WAS,RB,243.6,"1,046.6",9.1,45.0,322.9,1.4,1.4,0.0,0.0,0,0.0,0.0
16,David Montgomery,CHI,RB,255.6,"1,062.2",8.0,41.6,338.4,1.6,1.6,0.0,0.0,0,0.0,0.0
17,Clyde Edwards-Helaire,KC,RB,222.1,999.0,7.0,48.7,376.6,2.0,1.2,0.0,0.0,0,0.0,0.0
18,D'Andre Swift,DET,RB,187.7,863.6,7.8,59.4,466.1,2.2,2.5,0.0,0.0,0,0.0,0.0
19,Miles Sanders,PHI,RB,223.0,"1,061.8",6.8,40.4,330.7,1.6,1.8,0.0,0.0,0,0.0,0.0
20,Josh Jacobs,LV,RB,257.3,"1,048.3",9.0,30.8,241.5,0.9,1.7,0.0,0.0,0,0.0,0.0
21,James Robinson,JAC,RB,222.5,988.8,7.0,43.6,319.8,1.6,1.1,0.0,0.0,0,0.0,0.0
22,Mike Davis,ATL,RB,226.0,918.1,6.7,50.2,322.4,1.6,1.6,0.0,0.0,0,0.0,0.0
23,Gus Edwards,BAL,RB,220.6,"1,034.6",8.1,15.2,127.4,0.7,1.5,0.0,0.0,0,0.0,0.0
24,Darrell Henderson,LAR,RB,208.6,908.8,7.2,30.0,251.1,1.5,1.1,0.0,0.0,0,0.0,0.0
25,Travis Etienne Jr.,JAC,RB,134.0,611.0,5.0,73.0,620.0,3.0,3.0,0.0,0.0,0,0.0,0.0
26,Myles Gaskin,MIA,RB,189.7,841.3,5.8,45.4,365.5,2.1,2.2,0.0,0.0,0,0.0,0.0
27,Chase Edmonds,ARI,RB,170.7,737.7,4.7,53.3,415.9,3.0,1.0,0.0,0.0,0,0.0,0.0
28,Damien Harris,NE,RB,223.6,"1,067.1",6.8,13.4,101.1,0.4,1.0,0.0,0.0,0,0.0,0.0
29,Raheem Mostert,SF,RB,157.4,809.2,6.3,23.1,201.1,1.2,1.6,0.0,0.0,0,0.0,0.0
30,Kareem Hunt,CLE,RB,154.8,660.0,5.4,37.5,305.1,2.2,0.9,0.0,0.0,0,0.0,0.0
31,Melvin Gordon III,DEN,RB,167.6,828.7,6.1,24.5,167.9,1.0,2.5,0.0,0.0,0,0.0,0.0
32,Javonte Williams,DEN,RB,192.6,750.5,5.0,25.5,197.5,1.0,1.5,0.0,0.0,0,0.0,0.0
33,Leonard Fournette,TB,RB,164.5,653.9,5.8,28.9,205.2,0.9,0.8,0.0,0.0,0,0.0,0.0
34,Zack Moss,BUF,RB,155.8,656.2,5.3,23.0,165.6,1.1,0.8,0.0,0.0,0,0.0,0.0
35,James Conner,ARI,RB,147.0,647.8,5.3,25.4,187.0,0.8,1.1,0.0,0.0,0,0.0,0.0
36,Ronald Jones II,TB,RB,165.1,725.4,5.5,16.3,114.2,0.4,1.1,0.0,0.0,0,0.0,0.0
37,Sony Michel,LAR,RB,154.3,683.7,4.9,16.0,132.6,0.7,0.6,0.0,0.0,0,0.0,0.0
38,Kenyan Drake,LV,RB,131.2,560.9,4.7,37.4,259.3,1.0,1.2,0.0,0.0,0,0.0,0.0
39,David Johnson,HOU,RB,103.1,476.2,3.8,34.2,311.2,2.0,0.6,0.0,0.0,0,0.0,0.0
40,Trey Sermon,SF,RB,150.6,607.5,5.0,18.1,144.5,0.9,1.3,0.0,0.0,0,0.0,0.0
41,Jamaal Williams,DET,RB,142.3,563.0,3.6,33.0,230.2,1.2,0.8,0.0,0.0,0,0.0,0.0
42,Devin Singletary,BUF,RB,123.7,524.2,2.9,32.7,238.9,1.2,1.0,0.0,0.0,0,0.0,0.0
